﻿鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路2段5巷,13.37,住,,,1110729,土地16建物1車位1,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.97,2,1,1,有,無,10150000,117219,坡道平面,31.47,1300000,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLKQHHGFEF38CB,湯泉紅樹林,B棟B3-17F號
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,34.62,住,,,1110721,土地2建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.26,2,2,1,有,無,13600000,126320,坡道平面,31.43,2000000,休閒會館之土地持分面積為6/1000000。,RPWNMLLKQHHGFEF68CB,森原樹·樹之岩,G棟G5-3F號
淡水區,房地(土地+建物)+車位,新北市淡水區竹林路,30.16,住,,,1110721,土地14建物1車位1,六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.46,2,2,1,有,無,13000000,130319,坡道平面,24.75,1700000,,RPOOMLLKQHHGFEF97CB,森原樹．樹之泉,C棟11-6F號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,18.8,住,,,1110726,土地7建物1車位1,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.14,2,2,2,有,無,12650000,123879,坡道平面,35.94,1600000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKQHHGFAF67CB,仁基京品,G棟4號
板橋區,房地(土地+建物)+車位,新北市板橋區華江三路,30.29,住,,,1110721,土地9建物1車位2,二層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,233.97,3,2,2,有,無,34930000,163236,坡道平面,46.94,4400000,,RPRNMLMKQHHGFAF87CB,帝景1號,A棟02號
泰山區,房地(土地+建物)+車位,新北市泰山區新北大道五段及幸福路交叉口,10.54,商,,,1110724,土地1建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.11,2,1,2,有,無,15830000,158093,坡道平面,25.63,2000000,,RPRNMLMKQHHGFBF97CB,新潤A5 II 大道鎏域,B棟1號
五股區,房地(土地+建物)+車位,新北市五股區成洲七路,15.02,住,,,1110721,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,102.67,3,2,1,有,無,12000000,116640,坡道平面,22.08,2600000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPQOMLMKQHHGFBF97CB,伴月灣,A棟A12-08F號
五股區,房地(土地+建物)+車位,新北市五股區成洲七路,15.02,住,,,1110721,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,102.67,3,2,1,有,無,12000000,119121,坡道平面,22.08,2400000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPROMLMKQHHGFBF08CB,伴月灣,A棟A12-09F號
樹林區,房地(土地+建物)+車位,新北市樹林區復興路,18.57,住,,,1110727,土地8建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.49,3,2,2,有,無,21890000,155216,坡道平面,32.99,2100000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKQHHGFIF48CB,米蘭敦美,C棟14號
樹林區,房地(土地+建物)+車位,新北市樹林區復興路,18.55,住,,,1110727,土地8建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.3,3,2,2,有,無,21760000,155212,坡道平面,32.99,2000000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMKQHHGFIF58CB,米蘭敦美,D棟14號
